cav,cav-ps
07227000-6,07227000-6
07223000-8,07223000-8
07110000-3,07110000-3
05010000-8,05110000-9
04224000-4,04224000-4
04210000-3,04210000-3
08160000-5,08160000-5
06090000-9,06127000-8
06080000-6,06126000-1
04111000-9,04110000-2
06040000-4,06122000-3
07222000-1,07222000-1
04230000-9,04230000-9
04111200-1,04112000-6
08120000-3,08120000-3
05060000-3,05110500-4
04114100-1,04141000-8
06070000-3,06125000-4
04221000-3,04221000-3
05090000-2,05110800-7
04114200-2,04142000-5
05091000-9,05110900-8
05080000-9,05110700-6
07120000-6,07120000-6
06000000-2,06000000-2
06060000-0,06124000-7
06091000-6,06128000-5
04213000-4,04213000-4
04111220-7,04114000-0
05093000-3,05111100-7
07125000-1,07125000-1
08140000-9,08140000-9
05000000-5,05000000-5
08130000-6,08130000-6
05030000-4,05110200-1
07123000-7,07123000-7
04111100-0,04111000-9
06010000-5,06121000-6
08110000-0,08110000-0
07210000-4,07210000-4
07226000-9,07226000-9
04220000-6,04220000-6
05050000-0,05110400-3
07124000-4,07124000-4
07200000-1,07200000-1
04112100-7,04121000-2
06050000-7,06123000-0
07000000-9,07000000-9
05092000-6,05111000-6
04112300-9,04123000-6
04231000-6,04231000-6
07127000-5,07127000-5
05095000-7,05111300-9
07224000-5,07224000-5
08100000-7,08100000-7
07121000-3,07121000-3
05040000-7,05110300-2
04000000-8,04000000-8
04112200-8,04122000-9
05094000-0,05111200-8
04233000-0,04233000-0
04232000-3,04232000-3
07126000-8,07126000-8
04115200-9,04152000-8
07225000-2,07225000-2
04222000-0,04222000-0
06020000-8,06111000-3
04111210-4,04113000-3
04113200-5,04132000-2
04211000-0,04211000-0
04214000-1,04214000-1
07100000-0,07100000-0
04225000-1,04225000-1
07122000-0,07122000-0
06092000-3,06129000-2
04200000-0,04200000-0
05070000-6,05110600-5
04212000-7,04212000-7
05020000-1,05110100-0
08150000-2,08150000-2
04223000-7,04223000-7
04115100-8,04151000-1
07221000-4,07221000-4
07220000-7,07220000-7
06030000-1,06112000-0
04113100-4,04131000-5
