cav,cav-ps,name
07227000-6,07227000-6,Застава - Інше
07223000-8,07223000-8,Застава - Земельні ділянки
07110000-3,07110000-3,Кредити Юридичних осіб беззаставні
05010000-8,05110000-9,Молокозаводи
04224000-4,04224000-4,"об’єкт готельного призначення (готель, кемпінг тощо)"
04210000-3,04210000-3,Промислова нерухомість
08160000-5,08160000-5,Корпоративні права інші
06090000-9,06127000-8,Землі водного фонду
06080000-6,06126000-1,Землі лісогосподарського призначення
04111000-9,04110000-2,Квартира в будинку малоповерхового житлового будівництва
06040000-4,06122000-3,Землі природно-заповідного фонду та іншого природоохоронного призначення
07222000-1,07222000-1,Застава - Цілісний майновий комплекс або майновий комплекс - комплекс активів підприємства
04230000-9,04230000-9,Адміністративно-офісна нерухомість
04111200-1,04112000-6,Таунхаус
08120000-3,08120000-3,Корпоративні права Товариства з обмеженою відповідальністю
05060000-3,05110500-4,Складські логістичні комплекси
04114100-1,04141000-8,Будинок в дачному кооперативі
06070000-3,06125000-4,Землі історико-культурного призначення
04221000-3,04221000-3,"торгово-розважальний комплекс, супермаркет, гіпермаркет тощо"
05090000-2,05110800-7,Станції технічного обслуговування
04114200-2,04142000-5,Будинок в садовому кооперативі
05091000-9,05110900-8,"Кафе, ресторани"
05080000-9,05110700-6,Овочесховища
07120000-6,07120000-6,Кредити Юридичних осіб заставні
06000000-2,06000000-2,Земельні ділянки
06060000-0,06124000-7,Землі рекреаційного призначення
06091000-6,06128000-5,"Землі промисловості, транспорту, зв'язку, енергетики, оборони та іншого призначення"
04213000-4,04213000-4,"гараж, станція технічного обслуговування, мийка транспортних засобів, автостоянка, автозаправна станція тощо та їх частини"
04111220-7,04114000-0,Житловий будинок барачного типу
05093000-3,05111100-7,Підприємства хімічної промисловості
07125000-1,07125000-1,Застава - Промислова техніка
08140000-9,08140000-9,Корпоративні права Повного товариства
05000000-5,05000000-5,Цілісний майновий комплекс або майновий комплекс - комплекс активів підприємства
08130000-6,08130000-6,Корпоративні права Товариства  з  додатковою відповідальністю
05030000-4,05110200-1,"Елеватори, ХПП (хлібо-приймальні підприємства)"
07123000-7,07123000-7,Застава - Земельні ділянки
04111100-0,04111000-9,Квартира
06010000-5,06121000-6,Землі сільськогосподарського призначення
08110000-0,08110000-0,Корпоративні права Акціонерного  товариства
07210000-4,07210000-4,Кредити Фізичних осіб беззаставні
07226000-9,07226000-9,Застава - Транспортне обладнання та допоміжне приладдя до нього
04220000-6,04220000-6,Торгова нерухомість
05050000-0,05110400-3,Офісні та бізнес центри
07124000-4,07124000-4,Застава - Сільськогосподарська техніка
07200000-1,07200000-1,Кредити Фізичних осіб
04112100-7,04121000-2,Квартира
06050000-7,06123000-0,Землі оздоровчого призначення
07000000-9,07000000-9,Права вимоги за кредитними договорами
05092000-6,05111000-6,М'ясопереробні підприємства
04112300-9,04123000-6,Багаторівнева квартира
04231000-6,04231000-6,"бізнес-центр, приміщення в бізнес-центрі"
07127000-5,07127000-5,Застава - Інше
05095000-7,05111300-9,Підприємства деревообробної галузі
07224000-5,07224000-5,Застава - Сільськогосподарська техніка
08100000-7,08100000-7,"Корпоративні права (за виключенням тих, що виражені в цінних паперах)"
07121000-3,07121000-3,Застава - Нерухоме майно
05040000-7,05110300-2,Торгівельно-розважальні комплекси
04000000-8,04000000-8,Нерухоме майно
04112200-8,04122000-9,Пентхаус
05094000-0,05111200-8,Підприємства машинобудівної промисловості
04233000-0,04233000-0,адміністративні приміщення в житлових будинках
04232000-3,04232000-3,"адміністративна будівля, приміщення в адміністративній будівлі"
07126000-8,07126000-8,Застава - Транспортне обладнання та допоміжне приладдя до нього
04115200-9,04152000-8,Домоволодіння
07225000-2,07225000-2,Застава - Промислова техніка
04222000-0,04222000-0,"магазин (гастроном, універмаг, мінімаркет), аптека, перукарня, хімчистка, пральня, лікарняно-оздоровчий заклад, фізкультурно-оздоровчий заклад тощо"
06020000-8,06111000-3,"Землі житлової забудови (землі, які використовуються для розміщення житлової забудови (житлові будинки, гуртожитки, господарські будівлі та інше); землі, які використовуються для розміщення гаражного будівництва)"
04111210-4,04113000-3,Елінг
04113200-5,04132000-2,Кімната в гуртожитку
04211000-0,04211000-0,"промислова заводська, фабрична будівля та їх частини"
04214000-1,04214000-1,"будівля для утримання тварин, для приготування кормів тощо та їх частини"
07100000-0,07100000-0,Кредити Юридичних осіб
04225000-1,04225000-1,"кіоск, павільйон, намет, інші об’єкти, що належать до малих архітектурних форм"
07122000-0,07122000-0,Застава - Цілісний майновий комплекс або майновий комплекс - комплекс активів підприємства
06092000-3,06129000-2,"Землі запасу, резервного фонду та загального користування"
04200000-0,04200000-0,Комерційна нерухомість
05070000-6,05110600-5,Готельні комплекси
04212000-7,04212000-7,"будівля складу, ангар тощо та їх частини"
05020000-1,05110100-0,АЗС (автоматичні заправні станції)
08150000-2,08150000-2,Корпоративні права Командитного товариства
04223000-7,04223000-7,"заклад харчування (кафе, бар, ресторан тощо)"
04115100-8,04151000-1,Котедж
07221000-4,07221000-4,Застава - Нерухоме майно
07220000-7,07220000-7,Кредити Фізичних осіб заставні
06030000-1,06112000-0,"Землі громадської забудови (землі, які використовуються для розміщення громадських будівель і споруд (готелів, офісних будівель, торговельних будівель, для публічних виступів, для музеїв та бібліотек, для навчальних та дослідних закладів, для лікарень та оздоровчих закладів), інших об'єктів загального користування)"
04113100-4,04131000-5,Комунальна квартира
