cpv,cav,name
30233180-6,30233180-6,Флеш-накопичувачі
34910000-9,34910000-9,"Гужові чи ручні вози, інші транспортні засоби з немеханічним приводом, багажні вози та різні запасні частини"
30178000-7,30178000-7,Напівавтоматичні маркувальні системи
30132000-3,30132000-3,Сортувальне обладнання
34630000-2,34630000-2,Частини залізничних або трамвайних локомотивів чи рейкового рухомого складу; обладнання для контролю залізничного руху
32581130-9,32581130-9,Спеціальні кабелі для передачі даних
39512000-4,39512000-4,Постільна білизна
42414000-1,42414000-1,"Підіймальні крани, пересувні підіймальні рами та автоманіпулятори, оснащені краном"
32343000-9,32343000-9,Підсилювачі
32552310-3,32552310-3,Цифрові телефонні станції
42417310-8,42417310-8,Конвеєрні стрічки
30192150-7,30192150-7,Датери
42112300-0,42112300-7,Газові турбіни
34946220-8,34946220-8,"Гостряки стрілочних переводів, хрестовини глухого перетину, перевідні штанги та хрестовини"
42414140-4,42414140-4,Контейнерні крани
39713211-5,39713211-5,Сушильні та прасувальні прилади
30199761-2,30199761-2,Етикетки зі штрих-кодом
32442300-6,32442300-6,Термінальні емулятори
30197210-1,30197210-1,Теки-реєстратори
42112410-4,42112410-1,Турбінні прилади
39221180-2,39221180-2,Кухонне начиння
34946224-6,34946224-6,Хрестовини
30237130-9,30237130-9,Перфокарти
34142000-4,34142000-4,Автокрани та вантажні автомобілі-самоскиди
32322000-6,32322000-6,Мультимедійне обладнання
34300000-0,34300000-0,Частини та приладдя до транспортних засобів і їх двигунів
42122480-8,42122480-5,Лопатеві насоси
42113320-3,42113320-0,Газонагнітальні модулі
42912120-9,42912120-9,Гідроциклони
39515110-9,39515110-9,Димозахисні штори
32582000-6,32582000-6,Носії даних
32251100-8,32251100-8,Гарнітури «вільні руки»
30237253-7,30237253-7,Чохли для комп’ютерного обладнання для захисту від пилу
30162000-2,30162000-2,Смарт-картки
34921000-9,34921000-9,Дорожньо-експлуатаційне обладнання
39721000-2,39721000-2,Побутові прилади для готування та підігрівання їжі
42216000-3,42216000-3,Машини для обробки тютюну
39150000-8,39150000-8,Меблі та приспособи різні
32551500-5,32551500-5,Телефонні кабелі
34941500-0,34941500-0,Крейцкопфи
30233140-4,30233140-4,Запам’ятовувальні пристрої з прямим доступом (DASD)
30192700-8,30192700-8,Канцелярські товари
39113200-9,39113200-9,Дивани-канапе
42418500-4,42418500-4,Механічне обладнання для вантажно-розвантажувальних робіт
42113161-0,42113161-7,Осушувачі
42522000-1,42522000-1,Вентилятори непобутового призначення
30238000-6,30238000-6,Автоматизоване бібліотечне устаткування
34712300-4,34712300-4,Пристрої запуску космічних літальних апаратів
30123500-2,30123500-2,Перфорувальні пристрої
30199140-3,30199140-3,Папір для трафаретного друку
39270000-5,39270000-5,Вироби релігійного призначення
32342100-3,32342100-3,Головні гарнітури
39713100-4,39713100-4,Посудомийні машини
34411000-1,34411000-1,Частини та приладдя до мотоциклів
30125130-1,30125130-1,Тонери для пристроїв обробки та аналізу даних і документації
34221100-3,34221100-3,Пересувні аварійно-рятувальні пункти
42924700-6,42924700-6,"Механічні пристрої для направленого нагнітання, розсіювання чи розпилювання"
39834000-7,39834000-7,Розчини для чищення ювелірних виробів
30173000-2,30173000-2,Автомати для наклеювання етикеток
39525810-9,39525810-9,Полірувальне сукно
34144450-7,34144450-7,Поливальні машини
30237461-8,30237461-8,Програмовані клавіатури
42991100-0,42991100-0,Палітурні машини
42131300-9,42131300-6,Фонтанна арматура та інші клапанні системи
42631000-8,42631000-8,Верстати для завершальної обробки металів
30100000-0,30100000-0,"Офісні техніка, устаткування та приладдя, крім комп’ютерів, принтерів та меблів"
42330000-8,42330000-8,Плавильні печі
34912100-4,34912100-4,Прогулянкові дитячі візки
39141100-3,39141100-3,Полиці
32552420-7,32552420-7,Перетворювачі частоти
39513000-1,39513000-1,Столова білизна
30237360-0,30237360-0,Картриджі відкритого стандарту лінійного запису (LTO-картриджі)
30196300-2,30196300-2,Скриньки для збору пропозицій
34142100-5,34142100-5,Вантажні автомобілі з підіймальними платформами
34967000-3,34967000-3,Аеропортові системи зв’язку
32344000-6,32344000-6,Приймальна апаратура для радіотелефонії чи радіотелеграфії
39143120-3,39143120-3,"Меблі для спальні, крім ліжок і спального приладдя"
30132200-5,30132200-5,Купюрорахувальні машини
34631200-1,34631200-1,Буфери та тягове обладнання
42131260-6,42131260-3,Кульові крани
42962300-0,42962300-0,Графічні робочі станції
34954000-9,34954000-9,Козлові крани
34100000-8,34100000-8,Мототранспортні засоби
42122460-2,42122460-9,Повітряні насоси
42113120-1,42113120-8,Корпуси
39711123-7,39711123-7,Морозильні шафи
34928500-3,34928500-3,Обладнання для вуличного освітлення
34913600-6,34913600-6,Гребні гвинти
42150000-5,42150000-2,Ядерні реактори та їх частини
34330000-9,34330000-9,"Запасні частини до вантажних транспортних засобів, фургонів та легкових автомобілів"
42961100-1,42961100-1,Системи контролю доступу
30193100-9,30193100-9,Розділювачі для шухляд
39142000-9,39142000-9,Садові меблі
42221110-5,42221110-5,Частини доїльних апаратів
42638000-7,42638000-7,Металообробні центри
34622500-8,34622500-8,Багажні вагони та вагони спеціального призначення
42132130-3,42132130-0,Пневматичні приводи для арматури
30211300-4,30211300-4,Комп’ютерні платформи
42122190-8,42122190-5,Бетонні насоси
30197642-8,30197642-8,Папір для фотокопіювання та ксерографії
42390000-6,42390000-6,"Частини пальників, печей або пекарських печей"
42131146-1,42131146-8,Затвори зворотні інші
34522000-2,34522000-2,прогулянкові та спортивні човни
30192127-7,30192127-7,Підставки для ручок
34139100-1,34139100-1,Шасі для кабіни
32354100-0,32354100-0,Радіологічна плівка
42968000-9,42968000-9,Диспенсери
30211000-1,30211000-1,Мейнфрейм
30192800-9,30192800-9,Самоклейні етикетки
30163000-9,30163000-9,Платіжні картки
42512520-9,42512520-9,Вентиляційні жалюзійні ґрати
39225710-5,39225710-5,Пляшки
42718100-3,42718100-3,Прасувальні машини
34927100-2,34927100-2,Дорожня сіль
34953100-3,34953100-3,Поромні рампи
42923110-6,42923110-6,Терези
39299200-6,39299200-6,Безпечне скло
30192100-2,30192100-2,Гумки
39151000-5,39151000-5,Меблі різні
39112000-0,39112000-0,Стільці
30123610-6,30123610-6,Автомати для сортування монет
42113400-8,42113400-5,Частини водяних коліс
39717000-1,39717000-1,Вентилятори та кондиціонери
34513300-9,34513300-9,Морські плавучі доки
39114000-4,39114000-4,Частини сидінь
39512100-5,39512100-5,Простирадла
32412000-4,32412000-4,Комунікаційні мережі
34722100-5,34722100-5,Аеростати
30199780-1,30199780-1,Бювари
39563500-1,39563500-1,Текстильні вироби технічного призначення
30195913-5,30195913-5,Стенди для фліпчартів
34996300-8,34996300-8,"Регулювальне, запобіжне чи сигнальне обладнання для автомобільних стоянок"
30191100-5,30191100-5,Архівне устаткування
32321300-2,32321300-2,Аудіовізуальні матеріали
34512300-2,34512300-2,Балкери
39151200-7,39151200-7,Верстаки
42522100-2,42522100-2,Частини вентиляторів
30124510-2,30124510-2,Імпринтери
42131280-2,42131280-9,Дискові поворотні затвори
34115300-9,34115300-9,"Транспортні засоби, що були у використанні"
30237252-0,30237252-0,Пневматичний пилоочисник
42418220-7,42418220-7,Крісельні підіймачі
42964000-1,42964000-1,Обладнання для автоматизації офісу
30237270-2,30237270-2,Сумки для портативних комп’ютерів
39711211-1,39711211-1,Міксери
42921000-8,42921000-8,"Машини для миття, наповнювання, пакування чи обгортання пляшок або інших посудин"
16311000-8,16311000-8,Газонокосарки
30190000-7,30190000-7,Офісне устаткування та приладдя різне
30199750-2,30199750-2,Купони
30192320-0,30192320-0,Стрічка для принтерів
42622000-2,42622000-2,Верстати для нарізання зовнішньої та внутрішньої нарізі
42124212-3,42124212-0,Частини ручних насосів
39224210-3,39224210-3,Пензлі для фарбування
39254120-4,39254120-4,Настінні годинники
34311120-7,34311120-7,Дизельні двигуни
42215110-0,42215110-0,Хліборізки
39132300-9,39132300-9,Картотеки для підвісних файлів
30195200-4,30195200-4,Електронні дошки чи приладдя
34962230-9,34962230-9,Тренажери для підготовки авіаційних диспетчерів
30144200-2,30144200-2,Пристрої для друку квитків
42141410-6,42141410-3,Лебідки
42515000-9,42515000-9,Котли для централізованого опалення
34513500-1,34513500-1,Сейсморозвідувальні судна
39145000-0,39145000-0,Інвентар для винних льохів
30124110-8,30124110-8,Олива для термофіксаторів
30237100-0,30237100-0,Частини до комп’ютерів
30123000-7,30123000-7,Організаційна техніка
34941000-5,34941000-5,Рейки та приладдя
42412200-9,42412200-9,Кабестани
34928470-3,34928470-3,Вказівники
34144300-1,34144300-1,Пересувні мости
39713431-3,39713431-3,Приладдя до пилососів
39162000-5,39162000-5,Приладдя для навчальних закладів
39541120-3,39541120-3,Канати
39221260-7,39221260-7,Казанки
34223340-1,34223340-1,Причепи-цистерни
32427000-2,32427000-2,Мережеві системи
34410000-4,34410000-4,Мотоцикли
39298600-3,39298600-3,Глобуси
42670000-3,42670000-3,Частини та приладдя до верстатів
34522150-8,34522150-8,Вітрильні катамарани
30216110-0,30216110-0,Комп’ютерні сканери
32331000-2,32331000-2,Електропрогравачі
34522500-7,34522500-7,Гумові шлюпки
42991110-3,42991110-3,Брошурувальні машини
30212100-9,30212100-9,Центральні процесорні пристрої для мінікомп’ютерів
30196200-1,30196200-1,Ділові щоденники або змінні блоки до них
34931200-4,34931200-4,Телескопічні трапи для суден
34521400-9,34521400-9,Рятувальні човни
42151000-2,42151000-9,Ядерні реактори
32353100-3,32353100-3,Грамофонні платівки
39141000-2,39141000-2,Кухонні меблі та обладнання
30193200-0,30193200-0,Настільні лотки та органайзери
34741300-6,34741300-6,Аерофінішери
34224100-4,34224100-4,Частини причепів та напівпричепів
39811100-1,39811100-1,Освіжувачі повітря
34928310-4,34928310-4,Захисні огорожі
30236121-6,30236121-6,Програмовані постійні запам’ятовувальні пристрої (PROM)
30111000-0,30111000-0,Текстові процесори
39221250-4,39221250-4,Графини
39224000-8,39224000-8,"Мітли, щітки та інше господарське приладдя"
42131250-3,42131250-0,Голчасті клапани
42933000-5,42933000-5,Торгові автомати
30197510-4,30197510-4,Приладдя для користування сургучем
34933000-6,34933000-6,Навігаційне обладнання
32570000-9,32570000-9,Комунікаційне обладнання
32270000-6,32270000-6,Цифрова передавальна апаратура
42211100-9,42211100-9,Відцентрові сепаратори вершків
30141300-2,30141300-2,Калькулятори з функцією друку
42414130-1,42414130-1,Крани-штабелери
34110000-1,34110000-1,Легкові автомобілі
42932000-8,42932000-8,Вальцювальні машини
42924300-2,42924300-2,Розпилювальне обладнання
39512200-6,39512200-6,Підодіяльники
42991000-9,42991000-9,"Машини для виробництва паперу, друку, палітурування та їх частини"
16400000-9,16400000-9,Обприскувальні апарати для використання у сільському господарстві та рослинництві
34134200-7,34134200-7,Самоскиди
32572000-3,32572000-3,Комунікаційні кабелі
30193800-6,30193800-6,Затискачі для папірців-записок
42716130-8,42716130-8,Машини для сухого чищення
42215120-3,42215120-3,Беконорізки
39711500-4,39711500-4,Консервні ножі
42124170-6,42124170-3,Частини реактивних двигунів
42419530-0,42419530-0,Частини ескалаторів
30237220-7,30237220-7,Килимки для комп’ютерної миші
34942000-2,34942000-2,Сигнальне обладнання
34612200-2,34612200-2,Вагони канатної дороги
32510000-1,32510000-1,Бездротові телекомунікаційні системи
42122161-6,42122161-3,Насоси водяного охолодження
