cpv,dkpp
22414000-5,58.19.14-00.00
30194810-6,26.51.32-00.00
22461100-0,58.14.12-00.00
39831100-7,22.29.23-50.00
39513200-3,13.92.13-30.00
39514000-8,13.92.13-30.00
22612000-3,20.30.24-70.00
30195400-6,32.99.16-10.00
22991000-3,17.12.11-00.00
30194800-3,26.51.32-00.00
22110000-4,58.11.1
30192800-9,17.29.11-20.00
30194310-1,26.51.32-00.00
22114000-2,58.11.14
39812100-8,20.41.43
30192133-2,22.29.25-00.00
30197130-6,32.99.23-00.00
30199761-2,17.29.11-20.00
39831220-4,20.41.32-50.00
22454000-7,58.19.19-00.00
22312000-0,58.19.13-00.00
30197210-1,17.21.15-50.00
39224310-4,22.29.23-50.00
30197120-3,32.99.23-00.00
22400000-4,58.19.14-00.00
30191000-4,32.99
30195911-1,32.99.16-10.00
22993200-9,17.12.13-00.00
22121000-4,58.11.12-00.00
30199300-3,17.12.72-00.00
33762000-9,17.22.11-40.00
33764000-3,17.22.11-80.00
22210000-5,58.13.10-00.00
22114100-3,58.11.14-00.00
39832000-3,20.41.32-50.00
30194600-1,26.51.32-00.00
22114200-4,58.11.15-00.00
30194100-6,26.51.32-00.00
30192700-8,17.23.1
33742200-5,25.71.13-50.00
22114310-8,58.11.16-00.00
30199140-3,28.23.23-00.00
33735100-2,32.50.42-90.00
30196200-1,17.23.13-15.00
22453000-0,58.19.19-00.00
39831240-0,20.41.32-50.00
42122130-0,28.29.12-30.00
30195912-8,32.99.16-10.00
39811300-3,20.41.41-00.00
30199120-7,17.12.76-00.00
30197630-1,17.12.14-39.00
30191120-1,25.99.22-00.00
39831300-9,20.41.32-50.00
22460000-2,58.14.12-00.00
22456000-1,58.19.19-00.00
39513000-1,13.92.13
30192600-7,32.99.16-10.00
39831200-8,20.41.32-50.00
22611000-6,20.30.24-70.00
39831500-1,20.41.32-50.00
22000000-0,58.1
30194500-0,26.51.32-00.00
30192500-6,32.99.53-00.00
30196300-2,17.21.15-50.00
22212100-0,58.14.19-0.00
39833000-0,20.41.32-50.00
30199790-4,17.23.1
30195100-3,32.99.16-10.00
30199760-5,17.29.11-20.00
22819000-4,17.23.13-17.00
30199763-6,17.29.11-20.00
22816300-6,17.29.12-00.00
30197330-8,28.23.23-00.00
30199793-5,17.23.1
22130000-0,58.12.10-00.00
22852100-8,17.23.13-90.00
30199220-8,17.23.12-50.00
39513100-2,13.92.13-30.00
39820000-6,20.41.32-50.00
22600000-6,20.30.24
30199320-9,17.12.72-00.00
30193900-7,32.99.53-00.00
30199310-6,17.12.72-00.00
30191200-6,32.99.53-00.00
30192100-2,32.99.5
22160000-9,58.11.19-00.00
22213000-6,58.14.19-0.00
39292300-8,26.51.32-00.00
22459000-2,58.19.19-00.00
22813000-2,17.23.13-13.00
30192155-2,32.99.16-30.00
30195913-5,32.99.16-10.00
30192950-5,17.23.1
41110000-3,36.00.11-00.00
30199230-1,17.23.12-30.00
30191100-5,25.99.22-00.00
30195910-4,32.99.16-10.00
30199710-0,17.23.12-30.00
30192122-2,32.99.13-50.00
30197644-2,17.12.76-00.00
39811100-1,22.29.23-50.00
22458000-5,58.19.19-00.00
33735000-1,32.50.42-90.00
22461000-9,58.14.12-00.00
22810000-1,17.23.13-13.00
39292000-5,32.99.16-10.00
30199791-1,17.23.1
30199792-8,17.23.1
30190000-7,32.99
24911200-5,20.52.10-80.00
30199750-2,17.23.1
30192320-0,22.29.25-00.00
30199762-9,17.29.11-20.00
39224350-6,22.29.23-50.00
30195300-5,32.99.16-10.00
22410000-7,58.19.14-00.00
22200000-2,58.13
39224210-3,32.91.19-30.00
30197310-2,25.71.13-30.00
30195500-7,32.99.16-10.00
22831000-4,17.23.13-30.00
30195200-4,26.40.34-60.00
30197000-6,28.23.23-00.00
30193000-8,17.23.1
22114300-5,58.11.16-00.00
39292110-9,22.29.25-00.00
33761000-2,17.22.11-20.00
30192310-7,22.29.25-00.00
22473000-6,58.11.12-00.00
30197600-2,17.23.14-00.00
30197100-7,25.99.23-50.00
22452000-3,58.19.19-00.00
22100000-1,58.11
30199100-1,17.12.76-00.00
42122100-1,28.29.12-30.00
30193100-9,17.23.1
39224330-0,22.29.23-50.00
22150000-6,58.11.19-00.00
30192126-0,32.99.12-30.00
22455000-4,58.19.19-00.00
30199712-4,17.23.12-30.00
30199400-4,17.12.77-33.00
33771000-5,17.22.11
22451000-6,58.19.19-00.00
30199770-8,17.29.11-20.00
30192125-3,32.99.12-30.00
22817000-0,17.23.13-17.00
30197510-4,20.41.42-80.00
30199730-6,17.23.1
22413000-8,58.19.14-00.00
22455100-5,58.19.19-00.00
24910000-6,20.52.10-80.00
33771200-7,17.22.11
22993300-0,17.12.13-00.00
30193800-6,17.21.15-50.00
22212000-9,58.14.19-0.00
30192123-9,32.99.12-30.00
30195800-0,17.21.15-50.00
30192160-0,22.29.25-00.00
30193600-4,17.21.15-50.00
30199713-1,17.23.12-30.00
42122161-6,28.29.12-30.00
30192930-9,17.23.1
22830000-7,17.23.13-30.00
22114400-6,18.12.19-20.00
22313000-7,58.19.12-00.00
30199731-3,22.29.25-00.00
30192400-5,22.29.25-00.00
33741000-6,20.42.15-00.00
30194000-5,26.51.32-00.00
22315000-1,58.19.12-00.00
30194210-0,26.51.32-00.00
30199210-5,17.23.12-30.00
22851000-0,17.23.13-90.00
22900000-9,58.19.19-00.00
39514200-0,13.92.14-30.00
30197621-5,32.99.53-00.00
30199130-0,17.12.76-00.00
22832000-1,17.23.13-30.00
30192910-3,17.23.1
22500000-5,18.13.20
22853000-4,17.23.13-90.00
22112000-8,58.11.11-00.00
30192127-7,32.99.14-10.00
39292500-0,26.51.32-00.00
30192124-6,32.99.12-30.00
22114500-7,58.11.14-00.00
22852000-7,17.23.13-50.00
30192300-4,22.29.25-00.00
22321000-6,58.19.11-00.00
22140000-3,58.11.19-00.00
22412000-1,58.19.14-00.00
39800000-0,20.41.43
22816200-5,17.23.13-15.00
30192350-9,22.29.25-00.00
39224300-1,32.91.11-50.00
33770000-8,17.22.11-80.00
33735200-3,32.50.42-90.00
30192340-6,22.29.25-00.00
30192330-3,22.29.25-00.00
30194300-8,26.51.32-00.00
30199330-2,17.23.14-00.00
33742000-3,25.71.13-50.00
30194400-9,26.51.32-00.00
30191400-8,28.23.23-00.00
30192200-3,22.29.25-00.00
30197640-4,17.12.76-00.00
30197200-8,17.21.15-50.00
22510000-8,18.13.20-00.00
30195920-7,32.99.16-10.00
30194900-4,26.51.32-00.00
39831230-7,20.41.32-50.00
30197643-5,17.12.76-00.00
39812400-1,20.41.32-50.00
39831600-2,20.41.32-50.00
22310000-6,58.19.11-00.00
39831250-3,20.41.32-50.00
24911000-3,20.59.60-80.00
24900000-3,20.59.5
22211100-3,58.14.12-00.00
22470000-5,58.11.12-00.00
42122160-9,28.29.12-30.00
30192121-5,32.99.12-10.00
22816100-4,17.23.13-15.00
39832100-4,20.41.32-50.00
39292400-9,32.99.14-10.00
39831700-3,20.41.32-50.00
30199711-7,17.23.12-30.00
30194220-3,26.51.32-00.00
22471000-2,58.11.12-00.00
22992000-0,17.12.12-00.00
30195900-1,32.99.16-10.00
39831210-1,20.41.32-50.00
33740000-9,20.42.15-00.00
30197320-5,28.23.23-00.00
30199500-5,17.21.15-50.00
39812300-0,20.41.43
39224100-9,32.91.11-10.00
30197620-8,17.12.14-39.00
30197645-9,17.12.77-80.00
22411000-4,58.19.14-00.00
30192110-5,32.99.16-30.00
22610000-9,20.30.24
30193300-1,17.21.15-50.00
30194820-9,26.51.32-00.00
22993400-1,17.12.13-00.00
30195921-4,32.99.16-10.00
22314000-4,58.19.12-00.00
41000000-9,20.13.52-50.00
39224000-8,32.91.11
39330000-4,20.20.14
22814000-9,17.23.13-13.00
22120000-7,58.11.19-00.00
22450000-9,58.19.19-00.00
30192154-5,32.99.16-50.00
22111000-1,58.11.11-00.00
30191110-8,25.99.22-00.00
30197641-1,17.12.77-80.00
30197642-8,17.12.76-00.00
30197221-1,25.99.23-70.00
30192940-2,17.23.1
22320000-9,58.19.11-00.00
33742100-4,25.71.13-50.00
30199780-1,17.23.1
22430000-3,58.19.19-00.00
39291000-8,"22.29.23-50.00,27.51.13-00.00"
30197220-4,25.99.23-70.00
22211000-2,58.14.11-00.00
30192153-8,32.99.16-30.00
30193200-0,17.23.1
39811110-4,22.29.23-50.00
33760000-5,17.22.11
22420000-0,58.19.19-00.00
30193400-2,17.21.15-50.00
22114311-5,71.11.10-00.00
30199600-6,17.21.15-50.00
22990000-6,58.19.19-00.00
33741100-7,20.42.15-00.00
30192150-7,32.99.16-30.00
30192113-6,32.99.16-70.00
22300000-3,58.19.11
30195600-8,32.99.16-10.00
22993100-8,17.12.13-00.00
30197321-2,28.23.23-00.00
33771100-6,17.22.11
39810000-3,20.41.43-30.00
30192000-1,32
22800000-8,17.23.13
30195000-2,32.99.16-10.00
30195700-9,32.99.16-10.00
30196100-0,17.23.13-15.00
22440000-6,58.19.19-00.00
39292100-6,32.99.16-10.00
30193500-3,17.21.15-50.00
22816000-3,17.23.13-15.00
39812500-2,20.41.32-50.00
30192170-3,22.29.25-00.00
30199110-4,17.12.76-00.00
22113000-5,58.11.12-00.00
30197110-0,25.99.23-50.00
30194700-2,26.51.32-00.00
39514100-9,13.92.14-30.00
33741200-8,20.42.17.00.00
30197610-5,17.23.14-00.00
39821000-3,20.41.32-50.00
39514300-1,13.92.14-30.00
39224200-0,32.91.11-10.00
39834000-7,20.41.32-50.00
22457000-8,58.19.19-00.00
39224340-3,22.29.23-50.00
30199340-5,17.23.14-00.00
30192151-4,32.99.16-30.00
30193700-5,17.21.15-50.00
22462000-6,58.14.12-00.00
39292200-7,32.99.16-10.00
39290000-1,28.23.23-00.00
39224320-7,03.00.62-00.00
30197500-1,20.41.42-80.00
33741300-9,20.42.15-00.00
39831400-0,20.41.32-50.00
39813000-4,20.41.32-50.00
30194320-4,26.51.32-00.00
30192112-9,32.99.16-70.00
30197400-0,32.99.16-50.00
30197300-9,28.23.23-00.00
33763000-6,17.22.11-60.00
30199000-0,17.12.77-80.00
30196000-9,17.23.13-15.00
30192111-2,32.99.16-50.00
30192131-8,32.99.15-10.00
22850000-3,17.23.13-90.00
41100000-0,36.00.1
39830000-9,20.41.32-50.00
39822000-0,20.41.32-50.00
30192132-5,32.99.15-30.00
30199410-7,17.12.77-33.00
30199720-3,17.23.13-15.00
30199200-2,17.23.12
39811200-2,22.29.23-50.00
30192900-0,17.23.1
22459100-3,58.19.19-00.00
30199740-9,17.23.1
30194200-7,26.51.32-00.00
22472000-9,58.11.12-00.00
22520000-1,18.13.20-00.00
30192920-6,17.23.1
30199240-4,17.23.12-70.00
30192134-9,22.29.25-00.00
30199700-7,17.23.12
22521000-8,18.13.20-00.00
33772000-2,17.22.11
30192130-1,32.99.15-10.00
39812000-7,20.41.43-30.00
39514500-3,17.22.11
22815000-6,17.23.13-15.00
30192152-1,32.99.16-30.00
22993000-7,17.12.13-00.00
