cpv,dkpp,name
22414000-5,58.19.14-00.00,Держателі поштових марок
30194810-6,26.51.32-00.00,Рейсшини
22461100-0,58.14.12-00.00,Держателі листові
39831100-7,22.29.23-50.00,Диспергатори олій
39513200-3,13.92.13-30.00,Серветки столові
39514000-8,13.92.13-30.00,Білизна туалетна і кухонна
22612000-3,20.30.24-70.00,Туш креслярська
30195400-6,32.99.16-10.00,Дошки маркерні та комплектуючі до них
22991000-3,17.12.11-00.00,Папір газетний
30194800-3,26.51.32-00.00,Рейсшини та трикутники
22110000-4,58.11.1,Книжки друковані
30192800-9,17.29.11-20.00,Етикетки самоклейні
30194310-1,26.51.32-00.00,Набори або комплекти креслярські
22114000-2,58.11.14,"Словники, карти, ноти та інші книжки"
39812100-8,20.41.43,Мастики для натирання підлоги
30192133-2,22.29.25-00.00,Точили для олівців
30197130-6,32.99.23-00.00,Кнопки креслярські
30199761-2,17.29.11-20.00,Етикетки зі штриховим кодом
39831220-4,20.41.32-50.00,Засоби знежирювальні
22454000-7,58.19.19-00.00,Посвідчення водія
22312000-0,58.19.13-00.00,Малюнки
30197210-1,17.21.15-50.00,Швидкозшивачі з кільцями
39224310-4,22.29.23-50.00,Щітки туалетні
30197120-3,32.99.23-00.00,Цвяхи оббивні
22400000-4,58.19.14-00.00,"Марки, чекові бланки, банкноти, акредитиви, комерційні рекламні матеріали, каталоги та настанови"
30191000-4,32.99,"устаткування офісне, крім меблів"
30195911-1,32.99.16-10.00,Комплектуючі для дощок білих для писання маркерами
22993200-9,17.12.13-00.00,Папір-основа та картон-основа термочутливі
22121000-4,58.11.12-00.00,Видання технічні
30199300-3,17.12.72-00.00,Папір тиснений та перфорований
33762000-9,17.22.11-40.00,Хусточки носові паперові
33764000-3,17.22.11-80.00,Серветки паперові
22210000-5,58.13.10-00.00,Газети
22114100-3,58.11.14-00.00,Словники
39832000-3,20.41.32-50.00,Засоби для миття посуду
30194600-1,26.51.32-00.00,Протрактори
22114200-4,58.11.15-00.00,Атласи
30194100-6,26.51.32-00.00,Лекала
30192700-8,17.23.1,Товари канцелярські
33742200-5,25.71.13-50.00,Лаки для нігтів
22114310-8,58.11.16-00.00,Карти кадастрові
30199140-3,28.23.23-00.00,Трафарети паперові до копіювально-розмножувальних машин
33735100-2,32.50.42-90.00,Окуляри захисні
30196200-1,17.23.13-15.00,Щоденники або змінні блоки до щоденників
22453000-0,58.19.19-00.00,Наліпки про сплату податку на транспортний засіб
39831240-0,20.41.32-50.00,Препарати для чищення
42122130-0,28.29.12-30.00,Помпи водяні
30195912-8,32.99.16-10.00,Стенди до дощок білих для писання маркерами
39811300-3,20.41.41-00.00,Дезодоратори
30199120-7,17.12.76-00.00,Папір самокопіювальний
30197630-1,17.12.14-39.00,Папір друкарський
30191120-1,25.99.22-00.00,Стенди для журналів
39831300-9,20.41.32-50.00,Засоби очищення підлоги
22460000-2,58.14.12-00.00,"Матеріали рекламні комерційні, торгові каталоги та настанови"
22456000-1,58.19.19-00.00,Ліцензії
39513000-1,13.92.13,Білизна столова
30192600-7,32.99.16-10.00,Дошки креслярські
39831200-8,20.41.32-50.00,Детергенти
22611000-6,20.30.24-70.00,Фарба для глибокого друку
39831500-1,20.41.32-50.00,Очищувачі автомобільні
22000000-0,58.1,Матеріали друковані та суміжна продукція
30194500-0,26.51.32-00.00,Засоби допоміжні для шрифтового оформлення
30192500-6,32.99.53-00.00,Плівки прозорі до епідіаскопів
30196300-2,17.21.15-50.00,Ящики для пропозицій
22212100-0,58.14.19-0.00,Видання серійні
39833000-0,20.41.32-50.00,Засоби проти пилу
30199790-4,17.23.1,Розклади
30195100-3,32.99.16-10.00,Дошки планувальні та комплектуючі до них
30199760-5,17.29.11-20.00,Етикетки
22819000-4,17.23.13-17.00,Книги адресні
30199763-6,17.29.11-20.00,Попереджувальне маркування для захисту від крадіжок
22816300-6,17.29.12-00.00,Килимки для самоклеючих нотаток
30197330-8,28.23.23-00.00,Дироколи
30199793-5,17.23.1,Підставки для календарів
22130000-0,58.12.10-00.00,Довідники
22852100-8,17.23.13-90.00,"Папки на ""справи"""
30199220-8,17.23.12-50.00,Листівки поштові неілюстровані
39513100-2,13.92.13-30.00,Скатертини
39820000-6,20.41.32-50.00,Засоби органічні поверхнево-активні
22600000-6,20.30.24,Туш і друкарські фарби
30199320-9,17.12.72-00.00,Папір тиснений та перфорований для писання
30193900-7,32.99.53-00.00,Фіксатори копій
30199310-6,17.12.72-00.00,Папір тиснений та перфорований для друкування
30191200-6,32.99.53-00.00,Проектори епідіаскопічні
30192100-2,32.99.5,Гумки
22160000-9,58.11.19-00.00,Буклети
22213000-6,58.14.19-0.00,Журнали
39292300-8,26.51.32-00.00,Інструменти креслярські
22459000-2,58.19.19-00.00,Квитки
22813000-2,17.23.13-13.00,Книги бухгалтерські
30192155-2,32.99.16-30.00,Держателі для печаток офісні
30195913-5,32.99.16-10.00,Стенди для фліпчартів
30192950-5,17.23.1,Пристрої для стирання електричні
41110000-3,36.00.11-00.00,Вода питна
30199230-1,17.23.12-30.00,Конверти
30191100-5,25.99.22-00.00,устаткування для картотек
30195910-4,32.99.16-10.00,Дошки білі для писання маркерами
30199710-0,17.23.12-30.00,Конверти друковані
30192122-2,32.99.13-50.00,Авторучки
30197644-2,17.12.76-00.00,Папір ксерографічний
39811100-1,22.29.23-50.00,Освіжувачі повітря
22458000-5,58.19.19-00.00,"Матеріали друковані, зроблені на замовлення"
33735000-1,32.50.42-90.00,Окуляри-маска
22461000-9,58.14.12-00.00,Каталоги
22810000-1,17.23.13-13.00,Журнали реєстраційні паперові та картонні
39292000-5,32.99.16-10.00,Дошки шкільні грифельні та планшети з поверхнями для писання і малювання
30199791-1,17.23.1,Розклади настінні
30199792-8,17.23.1,Календарі
30190000-7,32.99,устаткування та приладдя офісне різне
24911200-5,20.52.10-80.00,Адгезиви
30199750-2,17.23.1,Талони
30192320-0,22.29.25-00.00,Стрічки для принтерів
30199762-9,17.29.11-20.00,Ярлики на багаж
39224350-6,22.29.23-50.00,Совок для пилу
30195300-5,32.99.16-10.00,Дошки наборні або комплектуючі до них
22410000-7,58.19.14-00.00,Марки
