dkpp,cpv,name
25.99.22-00.00,"30191100-5,30191110-8,30191120-1","Лотки та підставки на папір, лотки на пера, підставки на печатки й подібне конторське чи канцелярське устатковання з недорогоцінних металів, крім конторських/офісних меблів"
17.23.13-30.00,"22830000-7,22831000-4,22832000-1","Зошити, паперові чи картонні"
20.59.60-80.00,24911000-3,Желатин і його похідні; клей риб’ячий (крім казеїнових і кісткових клеїв)
58.14.11-00.00,22211000-2,"Журнали та періодичні видання неспеціалізовані, друковані"
58.11,22100000-1,Послуги щодо видавання книжок
58.13,22200000-2,Послуги щодо видавання газет
25.99.23-70.00,"30197220-4,30197221-1","Вироби канцелярські, інші, зокрема затискачі, скріпки та кутики на папір, з недорогоцінних металів"
17.23.14-00.00,"30197600-2,30197610-5,30199330-2,30199340-5","Папір і картон, інші, для писання, друкування чи іншої графічної призначеності, віддруковані, тиснені або перфоровані"
17.22.11-60.00,33763000-6,"Рушники для витирання рук з паперової маси, паперу, целюлозної вати чи полотна з целюлозного волокна"
18.13.20,22500000-5,Форми чи циліндри друкарські та інші носії відбитків для використання в поліграфії
58.11.16-00.00,"22114300-5,22114310-8","Карти географічні, гідрографічні чи подібні, друковані не у формі книжок"
32.99.16-30.00,"30192110-5,30192150-7,30192151-4,30192152-1,30192153-8,30192155-2","Штемпелі для проставляння дат, запечатування чи нумеруванння, ручні"
58.14.12-00.00,"22211100-3,22460000-2,22461000-9,22461100-0,22462000-6","Журнали та періодичні видання загальнокомерційні, професійні й академічні, друковані"
17.23.12-30.00,"30199210-5,30199230-1,30199710-0,30199711-7,30199712-4,30199713-1",Конверти паперові чи картонні
20.41.41-00.00,39811300-3,Препарати для ароматизування чи дезодорування приміщень
17.12.13-00.00,"22993000-7,22993100-8,22993200-9,22993300-0,22993400-1","Папір-основа та картон-основа для фоточутливого, термочутливого чи електрочутливого паперу; папір-основа для копіювального паперу; основа для шпалер"
20.42.17.00.00,33741200-8,"Лосьйони та інші засоби для волосся, н.в.і.у."
28.23.23-00.00,"30191400-8,30197000-6,30197300-9,30197320-5,30197321-2,30197330-8,30199140-3,39290000-1","Техніка конторська/офісна, інша"
32.99.53-00.00,"30191200-6,30192500-6,30193900-7,30197621-5","Прилади, апарати та моделі, призначені для демонстраційних цілей"
58.13.10-00.00,22210000-5,Газети друковані
17.12.77-80.00,"30197641-1,30197645-9,30199000-0","Папір і картон, крейдовані, просочені чи покриті, інші, н.в.і.у."
32.99.12-10.00,30192121-5,Ручки кулькові
58.11.1,22110000-4,Книжки друковані
17.12.12-00.00,22992000-0,Папір і картон ручного виготовляння
22.29.23-50.00,"39224310-4,39224330-0,39224340-3,39224350-6,39291000-8,39811100-1,39811110-4,39811200-2,39831100-7",Предмети господарської призначеності та предмети для туалету з регенерованої целюлози
17.12.14-39.00,"30197620-8,30197630-1","Папір і картон графічний: з часткою волокон, одержаних механічним способом, не більше ніж 10 мас. %, щільністю більше ніж 40 г/м2, але не більше від 150 г/м2, в аркушах"
17.29.11-20.00,"30192800-9,30199760-5,30199761-2,30199762-9,30199763-6,30199770-8",Етикетки паперові чи картонні самосклеювальні друковані
58.19.19-00.00,"22420000-0,22430000-3,22440000-6,22450000-9,22451000-6,22452000-3,22453000-0,22454000-7,22455000-4,22455100-5,22456000-1,22457000-8,22458000-5,22459000-2,22459100-3,22900000-9,22990000-6","Продукція друкована, інша"
17.23.13-90.00,"22850000-3,22851000-0,22852100-8,22853000-4","Бювари та книжкові обкладинки, паперові чи картонні"
58.11.14,22114000-2,Словники та енциклопедії друковані
32.99.14-10.00,"30192127-7,39292400-9","Набори ручок чи олівців, до складу яких входять два чи більше предметів письмового приладдя"
20.59.5,24900000-3,Продукти хімічні різноманітні
32.91.11-50.00,39224300-1,"Щітки, інші, для прибирання доріг, домашнього господарства та догляду за тваринами"
25.71.13-50.00,"33742000-3,33742100-4,33742200-5",Набори та інструменти манікюрні й педикюрні (зокрема пилочки для нігтів)
20.41.43-30.00,"39810000-3,39812000-7","Засоби полірувальні, креми та подібні препарати для доглядання за взуттям або шкірою (крім штучних і готових восків)"
58.11.11-00.00,"22111000-1,22112000-8",Підручники друковані
17.23.13-50.00,22852000-7,"Швидкозшивачі, папки та папки на «справи», паперові чи картонні (крім книжкових обкладинок)"
20.41.42-80.00,"30197500-1,30197510-4","Воски штучні та готові (зокрема сургучі), крім виготовлених з поліетиленгліколю"
32.99.5,30192100-2,"Вироби, інші, н.в.і.у."
13.92.14-30.00,"39514100-9,39514200-0,39514300-1","Білизна туалетна та кухонна, з махрових тканин на рушники й подібного махрового полотна, з бавовни"
32.99.16-10.00,"30192600-7,30195000-2,30195100-3,30195300-5,30195400-6,30195500-7,30195600-8,30195700-9,30195900-1,30195910-4,30195911-1,30195912-8,30195913-5,30195920-7,30195921-4,39292000-5,39292100-6,39292200-7",Дошки грифельні та інші дошки для писання чи рисування
26.40.34-60.00,30195200-4,"Відеомонітори з пласким екраном, дисплеї рідиннокристалічні, плазмові без пристроїв настроювання (відеомонітори кольорові) (крім обладнаних електронно-променевою трубкою)"
32.99.15-30.00,30192132-5,Грифелі до олівців чорні чи кольорові
58.11.15-00.00,22114200-4,Атласи та інші книжки з картами друковані
32.91.19-30.00,39224210-3,"Пензлі для фарбування, біління, лакування та подібних робіт"
18.12.19-20.00,22114400-6,Друкування нотних видань (зокрема з написанням музичних нот Брайля)
58.19.11,22300000-3,"Картки поштові, вітальні листівки та подібні вироби, друковані"
32,30192000-1,"Вироби промислові, інші"
58.19.12-00.00,"22313000-7,22314000-4,22315000-1","Репродукції, кресленики та фотографії, друковані"
32.91.11-10.00,"39224100-9,39224200-0","Мітли та щітки з лозин чи інших рослинних матеріалів, зв’язаних у жмути"
17.23.12-50.00,30199220-8,"Листівки поштові закриті, листівки поштові неілюстровані та листівки паперові чи картонні"
26.51.32-00.00,"30194000-5,30194100-6,30194200-7,30194210-0,30194220-3,30194300-8,30194310-1,30194320-4,30194400-9,30194500-0,30194600-1,30194700-2,30194800-3,30194810-6,30194820-9,30194900-4,39292300-8,39292500-0","Столи й машини креслярські та інші інструменти для креслення, розмічання або математичного розраховування"
17.12.72-00.00,"30199300-3,30199310-6,30199320-9","Папір і картон креповані, гофровані, тиснені або перфоровані"
22.29.25-00.00,"30192133-2,30192134-9,30192160-0,30192170-3,30192200-3,30192300-4,30192310-7,30192320-0,30192330-3,30192340-6,30192350-9,30192400-5,30199731-3,39292110-9",Приладдя канцелярське або шкільне пластмасове
17.21.15-50.00,"30193300-1,30193400-2,30193500-3,30193600-4,30193700-5,30193800-6,30195800-0,30196300-2,30197200-8,30197210-1,30199500-5,30199600-6","Сегрегатори, лотки на листи, ящики паперові для зберігання та подібні вироби, використовувані в конторах/офісах, магазинах або подібних закладах"
20.41.43,"39800000-0,39812100-8,39812300-0","Засоби полірувальні та креми для доглядання за взуттям, меблями, підлогами, кузовами автомобілів, склом або металом"
17.29.12-00.00,22816300-6,"Блоки, плити та пластини фільтрувальні, з паперової маси"
25.99.23-50.00,"30197100-7,30197110-0","Скоби у блоках для канцелярських потреб, оббивання та пакування, з недорогоцінних металів"
13.92.13-30.00,"39513100-2,39513200-3,39514000-8","Білизна столова, трикотажна"
17.23.13-13.00,"22810000-1,22813000-2,22814000-9","Журнали реєстраційні, бухгалтерські книги, книги бланків ордерів і квитанцій, паперові чи картонні"
32.91.11,39224000-8,Мітли та щітки для домашнього прибирання
13.92.13,39513000-1,Білизна столова
32.99.16-50.00,"30192111-2,30192154-5,30197400-0",Подушечки штемпельні (крім ручних чорнильних валиків)
17.23.13-17.00,"22817000-0,22819000-4","Щоденники, паперові чи картонні"
58.12.10-00.00,22130000-0,"Довідники та списки адресатів, друковані чи на фізичних носіях"
17.22.11-80.00,"33764000-3,33770000-8","Скатертини й серветки з паперової маси, паперу, целюлозної вати чи полотна з целюлозного волокна"
71.11.10-00.00,22114311-5,Плани та кресленики архітектурні
32.99.13-50.00,30192122-2,"Авторучки, стилографи та інші ручки"
17.23.13-15.00,"22815000-6,22816000-3,22816100-4,22816200-5,30196000-9,30196100-0,30196200-1,30199720-3","Книжки записні, блокноти для записів, блокноти-пам’ятки, паперові чи картонні"
32.99.23-00.00,"30197120-3,30197130-6","Кнопки, застібки-заскочки, заклепки та їхні частини; ґудзики; застібки-змійки"
20.30.24-70.00,"22611000-6,22612000-3",Чорнило друкарське (крім чорного)
58.1,22000000-0,"Послуги щодо видавання книжок, періодичних видань та інші видавничі послуги"
58.19.14-00.00,"22400000-4,22410000-7,22411000-4,22412000-1,22413000-8,22414000-5","Марки поштові, гербові чи подібні нові; гербовий папір; чекові книжки; банкноти, акції, облігації та подібні цінні папери, друковані"
20.20.14,39330000-4,Засоби дезінфекційні
58.14.19-0.00,"22212000-9,22212100-0,22213000-6","Журнали та періодичні видання, друковані, інші"
17.22.11,"33760000-5,33771000-5,33771100-6,33771200-7,33772000-2,39514500-3","Папір туалетний, носові хусточки, тканини очисні та для витирання обличчя або гігієнічні серветки та рушники, скатертини й серветки столові, з паперової маси, паперу, целюлозної вати чи полотна з целюлозного волокна"
58.11.19-00.00,"22120000-7,22140000-3,22150000-6,22160000-9","Книжки, брошури, рекламні проспекти та подібні матеріали, друковані, інші"
32.50.42-90.00,"33735000-1,33735100-2,33735200-3","Окуляри та захисні окуляри й подібні оптичні вироби, коригувальні, захисні та інші вироби (крім окулярів сонцезахисних)"
25.71.13-30.00,30197310-2,"Ножі для паперу, розкривання конвертів, підчищання текстів, пристрої для заточування олівців і леза до них (зокрема пристрої для заточування олівців коробкового типу), крім пристроїв до заточувальних машинок для олівців"
20.30.24,"22600000-6,22610000-9",Чорнило друкарське
32.99.16-70.00,"30192112-9,30192113-6","Стрічки до друкарських машинок або подібні стрічки, просочені чорнилом чи оброблені іншим способом для нанесення відбитків (крім рулонів зі стрічкою вугільного чи іншого копіювального паперу)"
17.12.76-00.00,"30197640-4,30197642-8,30197643-5,30197644-2,30199100-1,30199110-4,30199120-7,30199130-0","Папір копіювальний, самокопіювальний папір та інший папір для виготовляння копій і відбитків, у рулонах або в аркушах"
20.52.10-80.00,"24910000-6,24911200-5","Клеї готові та інші готові адгезиви, н.в.і.у."
20.13.52-50.00,41000000-9,Вода дистильована й кондуктометрична та вода подібної чистоти
17.23.12-70.00,30199240-4,"Коробки, сумки, гаманці й поштові набори для писання, паперові чи картонні, з умістом канцелярського паперу"
03.00.62-00.00,39224320-7,Губки натуральні тваринного походження
36.00.11-00.00,41110000-3,Вода питна
17.22.11-40.00,33762000-9,"Хусточки носові та очисні або тканини для витирання обличчя з паперової маси, паперу, целюлозної вати чи полотна з целюлозного волокна"
58.11.14-00.00,"22114100-3,22114500-7",Словники та енциклопедії друковані
32.99.12-30.00,"30192123-9,30192124-6,30192125-3,30192126-0",Ручки та маркери з наконечником з повсті чи іншого поруватого матеріалу
17.23.12,"30199200-2,30199700-7","Конверти, листівки поштові закриті, листівки поштові неілюстровані та листівки паперові чи картонні; коробки, сумки, гаманці й поштові набори для писання, паперові чи картонні, з умістом канцелярського паперу"
17.23.13,22800000-8,"Журнали реєстраційні, бухгалтерські книги, швидкозшивачі, формуляри та інші канцелярські вироби, паперові чи картонні"
28.29.12-30.00,"42122100-1,42122130-0,42122160-9,42122161-6",Устатковання й апарати для фільтрування чи очищування води
32.99.15-10.00,"30192130-1,30192131-8","Олівці прості та кольорові, з грифелями у твердій оболонці (крім олівців для медичних, косметичних або гігієнічних цілей)"
17.12.77-33.00,"30199400-4,30199410-7","Папір і картон, у рулонах або в аркушах, самосклеювальні"
27.51.13-00.00,39291000-8,Машини пральні та сушильні побутові
17.22.11-20.00,33761000-2,Папір туалетний
20.41.32-50.00,"39812400-1,39812500-2,39813000-4,39820000-6,39821000-3,39822000-0,39830000-9,39831200-8,39831210-1,39831220-4,39831230-7,39831240-0,39831250-3,39831300-9,39831400-0,39831500-1,39831600-2,39831700-3,39832000-3,39832100-4,39833000-0,39834000-7","Засоби мийні та засоби для чищення, з умістом або без умісту мила, розфасовані для роздрібної торгівлі (зокрема допоміжні мийні засоби), крім тих, що їх використовують як мило, та поверхнево-активних засобів"
58.19.13-00.00,22312000-0,"Картинки перебивні (декалькоманія), календарі, друковані"
58.19.11-00.00,"22310000-6,22320000-9,22321000-6","Картки поштові, вітальні листівки та подібні вироби, друковані"
17.12.11-00.00,22991000-3,"Папір газетний, у рулонах або в аркушах"
17.23.1,"30192700-8,30192900-0,30192910-3,30192920-6,30192930-9,30192940-2,30192950-5,30193000-8,30193100-9,30193200-0,30199730-6,30199740-9,30199750-2,30199780-1,30199790-4,30199791-1,30199792-8,30199793-5","Вироби канцелярські, паперові"
32.99,"30190000-7,30191000-4","Вироби промислові, інші, н.в.і.у."
18.13.20-00.00,"22510000-8,22520000-1,22521000-8",Форми чи циліндри друкарські та інші носії відбитків для використання в поліграфії
36.00.1,41100000-0,Вода природна
58.11.12-00.00,"22113000-5,22121000-4,22470000-5,22471000-2,22472000-9,22473000-6",Книжки професійні та науково-технічні друковані
20.42.15-00.00,"33740000-9,33741000-6,33741100-7,33741300-9","Засоби косметичні для макіяжу шкіри чи догляду за шкірою (зокрема сонцезахисні препарати), н.в.і.у."
